text_input,reasoning_class,validity
"If Uma is proud, then Xander is lazy. Uma is proud. Is Xander lazy?",Modus Ponens,Yes
"If Zane is tall, then Grace is honest. Zane is tall. Is Grace honest?",Modus Ponens,Yes
"If Zane is shy, then Alice is sad. Zane is shy. Is Alice sad?",Modus Ponens,Yes
"If Diana is clever, then Bob is tall. Diana is clever. Is Bob tall?",Modus Ponens,Yes
"If Eve is angry, then Zane is honest. Eve is angry. Is Zane honest?",Modus Ponens,Yes
"If Nina is smart, then Paul is honest. Nina is smart. Is Paul honest?",Modus Ponens,Yes
"If Sam is tall, then Zane is polite. Sam is tall. Is Zane polite?",Modus Ponens,Yes
"If Yara is sad, then Leo is brave. Yara is sad. Is Leo brave?",Modus Ponens,Yes
"If Nina is lazy, then Yara is angry. Nina is lazy. Is Yara angry?",Modus Ponens,Yes
"If Victor is calm, then Mona is lazy. Victor is calm. Is Mona lazy?",Modus Ponens,Yes
"If Bob is curious, then Xander is calm. Bob is curious. Is Xander calm?",Modus Ponens,Yes
"If Alice is tall, then Yara is loud. Alice is tall. Is Yara loud?",Modus Ponens,Yes
"If Bob is sad, then Frank is honest. Bob is sad. Is Frank honest?",Modus Ponens,Yes
"If Xander is curious, then Frank is clever. Xander is curious. Is Frank clever?",Modus Ponens,Yes
"If Mona is sad, then Rita is brave. Mona is sad. Is Rita brave?",Modus Ponens,Yes
"If Diana is happy, then Mona is gentle. Diana is happy. Is Mona gentle?",Modus Ponens,Yes
"If Zane is happy, then Xander is quiet. Zane is happy. Is Xander quiet?",Modus Ponens,Yes
"If Sam is short, then Hank is polite. Sam is short. Is Hank polite?",Modus Ponens,Yes
"If Sam is tall, then Yara is calm. Sam is tall. Is Yara calm?",Modus Ponens,Yes
"If Sam is short, then Quinn is clever. Sam is short. Is Quinn clever?",Modus Ponens,Yes
"If Nina is curious, then Uma is gentle. Nina is curious. Is Uma gentle?",Modus Ponens,Yes
"If Xander is loud, then Eve is smart. Xander is loud. Is Eve smart?",Modus Ponens,Yes
"If Yara is calm, then Tina is clever. Yara is calm. Is Tina clever?",Modus Ponens,Yes
"If Leo is short, then Hank is loud. Leo is short. Is Hank loud?",Modus Ponens,Yes
"If Zane is happy, then Tina is smart. Zane is happy. Is Tina smart?",Modus Ponens,Yes
"If Hank is calm, then Bob is curious. Hank is calm. Is Bob curious?",Modus Ponens,Yes
"If Kara is calm, then Charlie is short. Kara is calm. Is Charlie short?",Modus Ponens,Yes
"If Eve is tall, then Oscar is polite. Eve is tall. Is Oscar polite?",Modus Ponens,Yes
"If Mona is curious, then Tina is happy. Mona is curious. Is Tina happy?",Modus Ponens,Yes
"If Rita is honest, then Leo is smart. Rita is honest. Is Leo smart?",Modus Ponens,Yes
"If Hank is brave, then Bob is rude. Hank is brave. Is Bob rude?",Modus Ponens,Yes
"If Mona is calm, then Diana is clever. Mona is calm. Is Diana clever?",Modus Ponens,Yes
"If Rita is lazy, then Paul is kind. Rita is lazy. Is Paul kind?",Modus Ponens,Yes
"If Tina is gentle, then Oscar is kind. Tina is gentle. Is Oscar kind?",Modus Ponens,Yes
"If Tina is honest, then Uma is loud. Tina is honest. Is Uma loud?",Modus Ponens,Yes
"If Bob is tall, then Quinn is sad. Bob is tall. Is Quinn sad?",Modus Ponens,Yes
"If Jack is shy, then Alice is gentle. Jack is shy. Is Alice gentle?",Modus Ponens,Yes
"If Nina is proud, then Yara is angry. Nina is proud. Is Yara angry?",Modus Ponens,Yes
"If Paul is angry, then Eve is lazy. Paul is angry. Is Eve lazy?",Modus Ponens,Yes
"If Mona is tall, then Uma is honest. Mona is tall. Is Uma honest?",Modus Ponens,Yes
"If Xander is calm, then Diana is gentle. Xander is calm. Is Diana gentle?",Modus Ponens,Yes
"If Paul is rude, then Sam is honest. Paul is rude. Is Sam honest?",Modus Ponens,Yes
"If Paul is curious, then Leo is happy. Paul is curious. Is Leo happy?",Modus Ponens,Yes
"If Hank is clever, then Charlie is quiet. Hank is clever. Is Charlie quiet?",Modus Ponens,Yes
"If Jack is short, then Yara is shy. Jack is short. Is Yara shy?",Modus Ponens,Yes
"If Victor is calm, then Leo is loud. Victor is calm. Is Leo loud?",Modus Ponens,Yes
"If Sam is rude, then Ivy is gentle. Sam is rude. Is Ivy gentle?",Modus Ponens,Yes
"If Paul is angry, then Leo is lazy. Paul is angry. Is Leo lazy?",Modus Ponens,Yes
"If Frank is calm, then Zane is angry. Frank is calm. Is Zane angry?",Modus Ponens,Yes
"If Mona is quiet, then Charlie is polite. Mona is quiet. Is Charlie polite?",Modus Ponens,Yes
"If Bob is happy, then Uma is proud. Bob is happy. Is Uma proud?",Modus Ponens,Yes
"If Eve is brave, then Hank is kind. Eve is brave. Is Hank kind?",Modus Ponens,Yes
"If Paul is honest, then Quinn is gentle. Paul is honest. Is Quinn gentle?",Modus Ponens,Yes
"If Grace is loud, then Uma is short. Grace is loud. Is Uma short?",Modus Ponens,Yes
"If Paul is tall, then Quinn is smart. Paul is tall. Is Quinn smart?",Modus Ponens,Yes
"If Alice is calm, then Rita is loud. Alice is calm. Is Rita loud?",Modus Ponens,Yes
"If Leo is smart, then Wendy is brave. Leo is smart. Is Wendy brave?",Modus Ponens,Yes
"If Kara is smart, then Leo is clever. Kara is smart. Is Leo clever?",Modus Ponens,Yes
"If Ivy is kind, then Mona is smart. Ivy is kind. Is Mona smart?",Modus Ponens,Yes
"If Tina is gentle, then Yara is polite. Tina is gentle. Is Yara polite?",Modus Ponens,Yes
"If Paul is brave, then Zane is tall. Paul is brave. Is Zane tall?",Modus Ponens,Yes
"If Quinn is clever, then Rita is gentle. Quinn is clever. Is Rita gentle?",Modus Ponens,Yes
"If Leo is brave, then Yara is calm. Leo is brave. Is Yara calm?",Modus Ponens,Yes
"If Paul is tall, then Tina is happy. Paul is tall. Is Tina happy?",Modus Ponens,Yes
"If Paul is lazy, then Victor is angry. Paul is lazy. Is Victor angry?",Modus Ponens,Yes
"If Kara is angry, then Diana is honest. Kara is angry. Is Diana honest?",Modus Ponens,Yes
"If Charlie is calm, then Wendy is curious. Charlie is calm. Is Wendy curious?",Modus Ponens,Yes
"If Diana is sad, then Paul is happy. Diana is sad. Is Paul happy?",Modus Ponens,Yes
"If Paul is brave, then Zane is quiet. Paul is brave. Is Zane quiet?",Modus Ponens,Yes
"If Hank is rude, then Zane is clever. Hank is rude. Is Zane clever?",Modus Ponens,Yes
"If Oscar is honest, then Leo is brave. Oscar is honest. Is Leo brave?",Modus Ponens,Yes
"If Mona is brave, then Yara is honest. Mona is brave. Is Yara honest?",Modus Ponens,Yes
"If Bob is quiet, then Zane is sad. Bob is quiet. Is Zane sad?",Modus Ponens,Yes
"If Leo is polite, then Eve is shy. Leo is polite. Is Eve shy?",Modus Ponens,Yes
"If Kara is smart, then Paul is kind. Kara is smart. Is Paul kind?",Modus Ponens,Yes
"If Charlie is proud, then Bob is brave. Charlie is proud. Is Bob brave?",Modus Ponens,Yes
"If Jack is polite, then Hank is short. Jack is polite. Is Hank short?",Modus Ponens,Yes
"If Jack is happy, then Yara is calm. Jack is happy. Is Yara calm?",Modus Ponens,Yes
"If Uma is loud, then Bob is honest. Uma is loud. Is Bob honest?",Modus Ponens,Yes
"If Quinn is loud, then Nina is proud. Quinn is loud. Is Nina proud?",Modus Ponens,Yes
"If Kara is quiet, then Grace is loud. Kara is quiet. Is Grace loud?",Modus Ponens,Yes
"If Hank is rude, then Wendy is clever. Hank is rude. Is Wendy clever?",Modus Ponens,Yes
"If Ivy is gentle, then Eve is tall. Ivy is gentle. Is Eve tall?",Modus Ponens,Yes
"If Hank is happy, then Charlie is curious. Hank is happy. Is Charlie curious?",Modus Ponens,Yes
"If Xander is quiet, then Zane is shy. Xander is quiet. Is Zane shy?",Modus Ponens,Yes
"If Grace is polite, then Wendy is smart. Grace is polite. Is Wendy smart?",Modus Ponens,Yes
"If Paul is sad, then Uma is rude. Paul is sad. Is Uma rude?",Modus Ponens,Yes
"If Diana is rude, then Rita is sad. Diana is rude. Is Rita sad?",Modus Ponens,Yes
"If Zane is short, then Charlie is shy. Zane is short. Is Charlie shy?",Modus Ponens,Yes
"If Jack is curious, then Sam is happy. Jack is curious. Is Sam happy?",Modus Ponens,Yes
"If Wendy is brave, then Uma is honest. Wendy is brave. Is Uma honest?",Modus Ponens,Yes
"If Rita is smart, then Jack is calm. Rita is smart. Is Jack calm?",Modus Ponens,Yes
"If Leo is smart, then Frank is lazy. Leo is smart. Is Frank lazy?",Modus Ponens,Yes
"If Eve is happy, then Yara is rude. Eve is happy. Is Yara rude?",Modus Ponens,Yes
"If Alice is tall, then Hank is angry. Alice is tall. Is Hank angry?",Modus Ponens,Yes
"If Paul is polite, then Victor is sad. Paul is polite. Is Victor sad?",Modus Ponens,Yes
"If Zane is loud, then Tina is gentle. Zane is loud. Is Tina gentle?",Modus Ponens,Yes
"If Victor is smart, then Charlie is loud. Victor is smart. Is Charlie loud?",Modus Ponens,Yes
